,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lubango,26,AO,1555949611,34,-14.92,13.49,92.39,10.42
1,Grand Gaube,75,MU,1555949343,88,-20.01,57.66,80.6,8.05
2,Butaritari,94,KI,1555949612,80,3.07,172.79,83.57,24.47
3,Davila,75,PH,1555945200,83,18.47,120.58,80.6,2.24
4,Krasnyy Kholm,0,RU,1555949612,45,58.06,37.11,59.27,6.91
5,Lagoa,20,PT,1555949537,77,37.14,-8.45,66.99,21.92
6,Guerrero Negro,89,MX,1555949613,76,27.97,-114.04,58.55,13.89
7,Novaya Igirma,100,RU,1555949613,82,57.14,103.93,26.15,13.0
8,Vaini,13,IN,1555949613,62,15.34,74.49,81.59,3.94
9,Tuktoyaktuk,40,CA,1555945200,85,69.44,-133.03,12.2,10.29
10,Myitkyina,1,MM,1555949613,46,25.38,97.4,70.97,3.71
11,Longyearbyen,75,NO,1555948200,44,78.22,15.63,19.4,3.36
12,Hasaki,75,JP,1555949481,82,35.73,140.83,57.2,6.93
13,Egvekinot,34,RU,1555949614,93,66.32,-179.17,-5.53,12.53
14,Panglao,20,PH,1555945200,78,9.58,123.75,80.6,4.7
15,Coihaique,75,CL,1555945200,76,-45.58,-72.07,50.0,9.17
16,Muisne,40,EC,1555945200,89,0.61,-80.02,84.2,5.82
17,Mataura,2,NZ,1555949405,96,-46.19,168.86,45.0,3.0
18,Djambala,99,CG,1555949615,42,-2.55,14.76,90.05,4.83
19,Rikitea,64,PF,1555949615,84,-23.12,-134.97,79.25,15.68
20,Sept-Iles,20,CA,1555945200,48,50.2,-66.38,41.0,8.05
21,Tasiilaq,90,GL,1555944600,75,65.61,-37.64,32.0,10.29
22,Victoria,75,BN,1555947000,79,5.28,115.24,86.0,8.05
23,Hilo,40,US,1555949362,72,19.71,-155.08,70.0,5.82
24,Hamilton,75,BM,1555948850,68,32.3,-64.78,72.0,13.87
25,Castro,90,CL,1555945200,81,-42.48,-73.76,48.2,6.93
26,Tiksi,4,RU,1555949617,86,71.64,128.87,14.81,9.01
27,Airai,12,TL,1555949617,69,-8.93,125.41,74.93,7.7
28,Samarai,55,PG,1555949617,98,-10.62,150.67,75.11,2.66
29,Bredasdorp,29,ZA,1555948806,72,-34.53,20.04,68.0,18.34
30,Buchanan,75,LR,1555945200,74,5.88,-10.05,86.0,13.24
31,Vestmannaeyjar,20,IS,1555945200,75,63.44,-20.27,46.4,13.87
32,Comodoro Rivadavia,0,AR,1555945200,48,-45.87,-67.48,66.2,3.36
33,Ribeira Grande,20,PT,1555947000,59,38.52,-28.7,62.6,17.22
34,New Norfolk,20,AU,1555948889,81,-42.78,147.06,48.2,9.17
35,Kaitangata,74,NZ,1555949500,86,-46.28,169.85,43.0,3.0
36,Nizwa,96,OM,1555949619,22,22.93,57.53,87.89,2.37
37,Camacha,40,PT,1555947000,72,33.08,-16.33,68.0,19.46
38,Punta Arenas,75,CL,1555949593,81,-53.16,-70.91,46.4,5.82
39,Jamestown,0,AU,1555949541,61,-33.21,138.6,55.67,7.29
40,Kodiak,90,US,1555949610,32,39.95,-94.76,71.6,17.22
41,Ushuaia,90,AR,1555945200,93,-54.81,-68.31,42.8,3.36
42,Siyabuswa,100,ZA,1555949620,42,-25.11,29.06,77.45,12.15
43,Bethel,90,US,1555947960,85,60.79,-161.76,15.8,16.11
44,Warrington,0,GB,1555949608,37,53.39,-2.59,73.99,13.87
45,Najran,75,SA,1555945200,26,17.54,44.22,91.4,8.05
46,Novikovo,0,UA,1555949621,59,45.05,34.56,47.57,13.51
47,Sao Joao da Barra,0,BR,1555945200,52,-21.64,-41.05,91.4,4.7
48,Hobart,20,AU,1555948889,81,-42.88,147.33,48.2,9.17
49,Yatou,40,CM,1555945200,70,3.63,9.81,89.6,5.82
50,Camapua,100,BR,1555949621,92,-19.53,-54.04,73.49,2.64
51,Jaciara,100,BR,1555949622,53,-15.95,-54.98,89.33,3.2
52,Katobu,79,ID,1555949622,95,-4.94,122.53,76.01,3.98
53,Port Elizabeth,75,US,1555949617,63,39.31,-74.98,66.99,11.41
54,Mao,40,DO,1555949135,69,19.55,-71.08,89.01,11.41
55,Bundaberg,75,AU,1555949410,88,-24.87,152.35,70.0,8.05
56,Albany,75,US,1555949616,55,42.65,-73.75,68.0,12.75
